Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
IG_PILOTBars1_SES01, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
22.22, 0, 10.22, 85,                              0, 10.22, 75,                              0, 10.22, 440, 0.0,                              45
22.3, 0, 10.3, 86,                              0, 10.3, 76,                              0, 10.3, 444, 0.0,                              45
22.4, 0, 10.4, 86,                              0, 10.4, 77,                              0, 10.4, 448, 0.0,                              0
22.49, 0, 10.48, 87,                              0, 10.48, 77,                              0, 10.48, 452, 0.0,                              0
22.57, 0, 10.56, 88,                              0, 10.56, 78,                              0, 10.56, 456, 0.0,                              0
22.65, 0, 10.65, 89,                              0, 10.65, 79,                              0, 10.65, 459, 0.0,                              0
22.74, 0, 10.73, 89,                              0, 10.73, 79,                              0, 10.73, 463, 0.0,                              0
22.84, 0, 10.84, 90,                              0, 10.84, 80,                              0, 10.84, 467, 0.0,                              0
22.93, 0, 10.92, 91,                              0, 10.92, 81,                              0, 10.92, 471, 0.0,                              0
23.03, 0, 11.02, 92,                              0, 11.02, 82,                              0, 11.02, 475, 0.0,                              0
23.11, 0, 11.11, 93,                              0, 11.11, 82,                              0, 11.11, 479, 0.0,                              0
23.2, 0, 11.19, 93,                              0, 11.19, 83,                              0, 11.19, 483, 0.0,                              0
23.28, 0, 11.27, 94,                              0, 11.27, 83,                              0, 11.27, 486, 0.0,                              0
23.38, 0, 11.37, 95,                              0, 11.37, 84,                              0, 11.37, 491, 0.0,                              0
23.46, 0, 11.46, 95,                              0, 11.46, 85,                              0, 11.46, 494, 0.0,                              0
23.55, 0, 11.54, 96,                              0, 11.54, 85,                              0, 11.54, 498, 0.0,                              0
23.63, 0, 11.62, 97,                              0, 11.62, 86,                              0, 11.62, 502, 0.0,                              0
23.73, 0, 11.72, 98,                              0, 11.72, 87,                              0, 11.72, 506, 0.0,                              0
23.81, 0, 11.8, 98,                              0, 11.8, 87,                              0, 11.8, 509, 0.0,                              0
23.89, 0, 11.89, 99,                              0, 11.89, 88,                              0, 11.89, 513, 0.0,                              0
23.97, 0, 11.97, 100,                              0, 11.97, 89,                              0, 11.97, 516, 0.0,                              0
24.06, 0, 12.05, 101,                              0, 12.05, 89,                              0, 12.05, 520, 0.0,                              0
24.14, 0, 12.13, 101,                              0, 12.13, 90,                              0, 12.13, 524, 0.0,                              0
24.24, 0, 12.23, 102,                              0, 12.23, 91,                              0, 12.23, 528, 0.0,                              0
24.32, 0, 12.31, 103,                              0, 12.31, 91,                              0, 12.31, 531, 0.0,                              0
24.4, 0, 12.39, 103,                              0, 12.39, 92,                              0, 12.39, 535, 0.0,                              0
24.48, 0, 12.47, 104,                              0, 12.47, 92,                              0, 12.47, 538, 0.0,                              0
24.57, 0, 12.57, 105,                              0, 12.57, 93,                              0, 12.57, 543, 0.0,                              0
24.67, 0, 12.66, 106,                              0, 12.66, 94,                              0, 12.66, 547, 0.0,                              0
24.75, 0, 12.74, 106,                              0, 12.74, 94,                              0, 12.74, 550, 0.0,                              0
24.83, 0, 12.82, 107,                              0, 12.82, 95,                              0, 12.82, 554, 0.0,                              0
24.91, 0, 12.91, 108,                              0, 12.91, 96,                              0, 12.91, 557, 0.0,                              0
24.99, 0, 12.99, 108,                              0, 12.99, 96,                              0, 12.99, 561, 0.0,                              0
25.07, 0, 13.07, 109,                              0, 13.07, 97,                              0, 13.07, 564, 0.0,                              0
25.15, 0, 13.15, 110,                              0, 13.15, 97,                              0, 13.15, 568, 0.0,                              0
25.23, 0, 13.23, 110,                              0, 13.23, 98,                              0, 13.23, 571, 0.0,                              0
25.33, 0, 13.32, 111,                              0, 13.32, 99,                              0, 13.32, 575, 0.0,                              0
25.42, 0, 13.42, 112,                              0, 13.42, 99,                              0, 13.42, 579, 0.0,                              0
25.52, 0, 13.51, 113,                              0, 13.51, 100,                              0, 13.51, 584, 0.0,                              0
25.6, 0, 13.59, 114,                              0, 13.59, 101,                              0, 13.59, 587, 0.0,                              0
25.68, 0, 13.67, 114,                              0, 13.67, 101,                              0, 13.67, 591, 0.0,                              0
25.76, 0, 13.75, 115,                              0, 13.75, 102,                              0, 13.75, 594, 0.0,                              0
25.84, 0, 13.83, 116,                              0, 13.83, 103,                              0, 13.83, 597, 0.0,                              0
25.92, 0, 13.92, 116,                              0, 13.92, 103,                              0, 13.92, 601, 0.0,                              0
26.0, 0, 14.0, 117,                              0, 14.0, 104,                              0, 14.0, 605, 0.0,                              0
26.1, 0, 14.09, 118,                              0, 14.09, 104,                              0, 14.09, 609, 0.0,                              0
26.18, 0, 14.17, 118,                              0, 14.17, 105,                              0, 14.17, 612, 0.0,                              0
26.26, 0, 14.25, 119,                              0, 14.25, 106,                              0, 14.25, 616, 0.0,                              0
26.34, 0, 14.33, 120,                              0, 14.33, 106,                              0, 14.33, 619, 0.0,                              0
26.42, 0, 14.42, 120,                              0, 14.42, 107,                              0, 14.42, 623, 0.0,                              0
26.5, 0, 14.49, 121,                              0, 14.49, 108,                              0, 14.49, 626, 0.0,                              0
26.58, 0, 14.57, 122,                              0, 14.57, 108,                              0, 14.57, 630, 0.0,                              0
26.66, 0, 14.65, 122,                              0, 14.65, 109,                              0, 14.65, 633, 0.0,                              0
26.74, 0, 14.74, 123,                              0, 14.74, 109,                              0, 14.74, 637, 0.0,                              0
26.82, 0, 14.82, 124,                              0, 14.82, 110,                              0, 14.82, 640, 0.0,                              0
26.9, 0, 14.9, 125,                              0, 14.9, 111,                              0, 14.9, 644, 0.0,                              0
26.98, 0, 14.98, 125,                              0, 14.98, 111,                              0, 14.98, 647, 0.0,                              0
27.06, 0, 15.06, 126,                              0, 15.06, 112,                              0, 15.06, 651, 0.0,                              0
27.16, 0, 15.15, 127,                              0, 15.15, 112,                              0, 15.15, 655, 0.0,                              0
27.24, 0, 15.23, 127,                              0, 15.23, 113,                              0, 15.23, 658, 0.0,                              0
27.33, 0, 15.33, 128,                              0, 15.33, 114,                              0, 15.33, 662, 0.0,                              0
27.43, 0, 15.42, 129,                              0, 15.42, 114,                              0, 15.42, 666, 0.0,                              0
27.51, 0, 15.5, 130,                              0, 15.5, 115,                              0, 15.5, 670, 0.0,                              0
27.61, 0, 15.6, 130,                              0, 15.6, 116,                              0, 15.6, 674, 0.0,                              0
27.69, 0, 15.68, 131,                              0, 15.68, 116,                              0, 15.68, 678, 0.0,                              0
27.77, 0, 15.76, 132,                              0, 15.76, 117,                              0, 15.76, 681, 0.0,                              0
27.85, 0, 15.84, 132,                              0, 15.84, 118,                              0, 15.84, 685, 0.0,                              0
27.93, 0, 15.92, 133,                              0, 15.92, 118,                              0, 15.92, 688, 0.0,                              0
28.01, 0, 16.0, 134,                              0, 16.0, 119,                              0, 16.0, 691, 0.0,                              0
28.09, 0, 16.08, 135,                              0, 16.08, 119,                              0, 16.08, 695, 0.0,                              0
28.16, 0, 16.16, 135,                              0, 16.16, 120,                              0, 16.16, 698, 0.0,                              0
28.26, 0, 16.25, 136,                              0, 16.25, 121,                              0, 16.25, 702, 0.0,                              0
28.34, 0, 16.33, 137,                              0, 16.33, 121,                              0, 16.33, 706, 0.0,                              0
28.42, 0, 16.41, 137,                              0, 16.41, 122,                              0, 16.41, 709, 0.0,                              0
28.5, 0, 16.49, 138,                              0, 16.49, 122,                              0, 16.49, 713, 0.0,                              45
28.58, 0, 16.57, 139,                              0, 16.57, 123,                              0, 16.57, 716, 0.0,                              45
28.66, 0, 16.65, 139,                              0, 16.65, 124,                              0, 16.65, 720, 0.0,                              45
28.75, 0, 16.75, 140,                              0, 16.75, 124,                              0, 16.75, 724, 0.0,                              45
28.83, 0, 16.83, 141,                              0, 16.83, 125,                              0, 16.83, 727, 0.0,                              45
